pointScore,gameScore,setScore,tiebreakScore,isPointStart,pointStartTime,isPointEnd,pointEndTime,isBreakPoint,shotInRally,side,serverName,firstServeIn,firstServeZone,firstServeXCoord,firstServeYCoord,secondServeIn,secondServeZone,secondServeXCoord,secondServeYCoord,isAce,returnContactX,returnContactY,returnPlacementX,returnPlacementY,shotContactX,shotContactY,shotDirection,shotFhBh,isSlice,isVolley,isOverhead,isApproach,isDropshot,atNetPlayer1,atNetPlayer2,isLob,shotLocationX,shotLocationY,isWinner,isErrorWideR,isErrorWideL,isErrorNet,isErrorLong,pointWonBy,clientTeam,Date,Division,Event,lineupPosition,matchVenue,opponentTeam,player1Name,player2Name,player1Hand,player2Hand,Round,Surface,Notes,pointNumber,returnerName,shotHitBy,isInsideOut,isInsideIn,isDoubleFault,lastShotError,serveResult,serveInPlacement
15-30,3-2,0-0,,,,,,,2,Ad,Sara Svetac,,,,,,,,,,,,,,,,Crosscourt,Forehand,,,,,,,,,,,,,,,,Elise Wagle,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,31,Elise Wagle,Elise Wagle,,,,0,,
15-30,3-2,0-0,,,,,,,3,Ad,Sara Svetac,,,,,,,,,,,,,,,,Crosscourt,Backhand,,,,,,,,,,,,,,,,Elise Wagle,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,31,Elise Wagle,Sara Svetac,,,,0,,
15-30,3-2,0-0,,,,,,,4,Ad,Sara Svetac,,,,,,,,,,,,,,,,Crosscourt,Backhand,,,,,,,,,,,,,,,,Elise Wagle,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,31,Elise Wagle,Elise Wagle,,,,0,,
15-30,3-2,0-0,,,,,,,5,Ad,Sara Svetac,,,,,,,,,,,,,,,,Crosscourt,Backhand,,,,,,,,,,,,,,,,Elise Wagle,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,31,Elise Wagle,Sara Svetac,,,,0,,
15-30,3-2,0-0,,,,,,,6,Ad,Sara Svetac,,,,,,,,,,,,,,,,Down the Line,Forehand,,,,,,,,,,,,,,,,Elise Wagle,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,31,Elise Wagle,Elise Wagle,,,,0,,
15-30,3-2,0-0,,,,,,,7,Deuce,Sara Svetac,,,,,,,,,,,,,,,,Crosscourt,Forehand,,,,,,,,,,,,,,,,Elise Wagle,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,31,Elise Wagle,Sara Svetac,,,,0,,
15-30,3-2,0-0,,,,,,,8,Deuce,Sara Svetac,,,,,,,,,,,,,,,,Crosscourt,Forehand,,,,,,,,,,,,,,,,Elise Wagle,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,31,Elise Wagle,Elise Wagle,,,,0,,
15-30,3-2,0-0,,,,1.0,,,9,Deuce,Sara Svetac,,,,,,,,,,,,,,,,Crosscourt,Forehand,,,,,,,,,,,,,,1.0,,Elise Wagle,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,31,Elise Wagle,Sara Svetac,,,,1,,
15-40,3-2,0-0,,1.0,,,,1.0,1,Deuce,Sara Svetac,0.0,Body,,,1.0,T,,,,,,,,,,,,,,,,,,,,,,,,,,,Sara Svetac,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,32,Elise Wagle,Sara Svetac,,,,0,2nd Serve In,T
15-40,3-2,0-0,,,,,,,2,Deuce,Sara Svetac,,,,,,,,,,,,,,,,Crosscourt,Forehand,,,,,,,,,,,,,,,,Sara Svetac,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,32,Elise Wagle,Elise Wagle,,,,0,,
15-40,3-2,0-0,,,,,,,3,Deuce,Sara Svetac,,,,,,,,,,,,,,,,Crosscourt,Forehand,,,,,,,,,,,,,,,,Sara Svetac,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,32,Elise Wagle,Sara Svetac,,,,0,,
15-40,3-2,0-0,,,,,,,4,Deuce,Sara Svetac,,,,,,,,,,,,,,,,Crosscourt,Forehand,,,,,,,,,,,,,,,,Sara Svetac,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,32,Elise Wagle,Elise Wagle,,,,0,,
15-40,3-2,0-0,,,,,,,5,Deuce,Sara Svetac,,,,,,,,,,,,,,,,Down the Line,Forehand,,,,,,,,,,,,,,,,Sara Svetac,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,32,Elise Wagle,Sara Svetac,,,,0,,
15-40,3-2,0-0,,,,,,,6,Ad,Sara Svetac,,,,,,,,,,,,,,,,Crosscourt,Forehand,,,,,,,,,,,,,,,,Sara Svetac,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,32,Elise Wagle,Elise Wagle,,,,0,,
15-40,3-2,0-0,,,,,,,7,Ad,Sara Svetac,,,,,,,,,,,,,,,,Crosscourt,Backhand,,,,1.0,,,,,,,,,,,,Sara Svetac,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,32,Elise Wagle,Sara Svetac,,,,0,,
15-40,3-2,0-0,,,,,,,8,Ad,Sara Svetac,,,,,,,,,,,,,,,,Down the Line,Backhand,1.0,,,,,,,,,,,,,,,Sara Svetac,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,32,Elise Wagle,Elise Wagle,,,,0,,
15-40,3-2,0-0,,,,,,,9,Deuce,Sara Svetac,,,,,,,,,,,,,,,,Crosscourt,Forehand,,,,,,,,,,,,,,,,Sara Svetac,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,32,Elise Wagle,Sara Svetac,,,,0,,
15-40,3-2,0-0,,,,,,,10,Deuce,Sara Svetac,,,,,,,,,,,,,,,,Crosscourt,Forehand,,,,,,,,,,,,,,,,Sara Svetac,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,32,Elise Wagle,Elise Wagle,,,,0,,
15-40,3-2,0-0,,,,1.0,,,11,Deuce,Sara Svetac,,,,,,,,,,,,,,,,Down the Line,Forehand,,,,,,,,,,,1.0,,,,,Sara Svetac,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,32,Elise Wagle,Sara Svetac,,,,0,,
30-40,3-2,0-0,,1.0,,,,1.0,1,Ad,Sara Svetac,1.0,Wide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elise Wagle,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,33,Elise Wagle,Sara Svetac,,,,0,1st Serve In,Wide
30-40,3-2,0-0,,,,,,,2,Ad,Sara Svetac,,,,,,,,,,,,,,,,Crosscourt,Backhand,,,,,,,,,,,,,,,,Elise Wagle,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,33,Elise Wagle,Elise Wagle,,,,0,,
30-40,3-2,0-0,,,,,,,3,Ad,Sara Svetac,,,,,,,,,,,,,,,,Crosscourt,Backhand,,,,,,,,,,,,,,,,Elise Wagle,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,33,Elise Wagle,Sara Svetac,,,,0,,
30-40,3-2,0-0,,,,,,,4,Ad,Sara Svetac,,,,,,,,,,,,,,,,Crosscourt,Backhand,,,,,,,,,,,,,,,,Elise Wagle,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,33,Elise Wagle,Elise Wagle,,,,0,,
30-40,3-2,0-0,,,,,,,5,Ad,Sara Svetac,,,,,,,,,,,,,,,,Crosscourt,Backhand,,,,,,,,,,,,,,,,Elise Wagle,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,33,Elise Wagle,Sara Svetac,,,,0,,
30-40,3-2,0-0,,,,,,,6,Ad,Sara Svetac,,,,,,,,,,,,,,,,Crosscourt,Backhand,,,,,,,,,,,,,,,,Elise Wagle,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,33,Elise Wagle,Elise Wagle,,,,0,,
30-40,3-2,0-0,,,,1.0,,,7,Deuce,Sara Svetac,,,,,,,,,,,,,,,,Down the Line,Forehand,,1.0,,,,,,,,,,,,,1.0,Elise Wagle,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,33,Elise Wagle,Sara Svetac,,,,1,,
0-0,4-2,0-0,,1.0,,,,,1,Deuce,Elise Wagle,1.0,Body,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elise Wagle,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,34,Sara Svetac,Elise Wagle,,,,0,1st Serve In,Body
0-0,4-2,0-0,,,,,,,2,Deuce,Elise Wagle,,,,,,,,,,,,,,,,Down the Line,Forehand,,,,,,,,,,,,,,,,Elise Wagle,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,34,Sara Svetac,Sara Svetac,,,,0,,
0-0,4-2,0-0,,,,,,,3,Ad,Elise Wagle,,,,,,,,,,,,,,,,Down the Line,Backhand,,,,,,,,,,,,,,,,Elise Wagle,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,34,Sara Svetac,Elise Wagle,,,,0,,
0-0,4-2,0-0,,,,,,,4,Deuce,Elise Wagle,,,,,,,,,,,,,,,,Crosscourt,Forehand,,,,,,,,,,,,,,,,Elise Wagle,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,34,Sara Svetac,Sara Svetac,,,,0,,
0-0,4-2,0-0,,,,,,,5,Deuce,Elise Wagle,,,,,,,,,,,,,,,,Down the Line,Forehand,,,,,,,,,,,,,,,,Elise Wagle,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,34,Sara Svetac,Elise Wagle,,,,0,,
0-0,4-2,0-0,,,,,,,6,Ad,Elise Wagle,,,,,,,,,,,,,,,,Crosscourt,Backhand,,,,,,,,,,,,,,,,Elise Wagle,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,34,Sara Svetac,Sara Svetac,,,,0,,
0-0,4-2,0-0,,,,,,,7,Ad,Elise Wagle,,,,,,,,,,,,,,,,Crosscourt,Backhand,,,,,,,,,,,,,,,,Elise Wagle,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,34,Sara Svetac,Elise Wagle,,,,0,,
0-0,4-2,0-0,,,,,,,8,Ad,Elise Wagle,,,,,,,,,,,,,,,,Crosscourt,Backhand,,,,,,,,,,,,,,,,Elise Wagle,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,34,Sara Svetac,Sara Svetac,,,,0,,
0-0,4-2,0-0,,,,1.0,,,9,Ad,Elise Wagle,,,,,,,,,,,,,,,,Down the Line,Backhand,,,,,,,,,,,1.0,,,,,Elise Wagle,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,34,Sara Svetac,Elise Wagle,,,,0,,
15-0,4-2,0-0,,1.0,,,,,1,Ad,Elise Wagle,1.0,Wide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sara Svetac,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,35,Sara Svetac,Elise Wagle,,,,0,1st Serve In,Wide
15-0,4-2,0-0,,,,,,,2,Ad,Elise Wagle,,,,,,,,,,,,,,,,Crosscourt,Backhand,,,,,,,,,,,,,,,,Sara Svetac,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,35,Sara Svetac,Sara Svetac,,,,0,,
15-0,4-2,0-0,,,,,,,3,Ad,Elise Wagle,,,,,,,,,,,,,,,,Down the Line,Backhand,,,,,,,,,,,,,,,,Sara Svetac,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,35,Sara Svetac,Elise Wagle,,,,0,,
15-0,4-2,0-0,,,,,,,4,Deuce,Elise Wagle,,,,,,,,,,,,,,,,Crosscourt,Backhand,1.0,,,,,,,,,,,,,,,Sara Svetac,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,35,Sara Svetac,Sara Svetac,,,,0,,
15-0,4-2,0-0,,,,,,,5,Deuce,Elise Wagle,,,,,,,,,,,,,,,,Down the Line,Forehand,,,,,,,,,,,,,,,,Sara Svetac,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,35,Sara Svetac,Elise Wagle,,,,0,,
15-0,4-2,0-0,,,,,,,6,Ad,Elise Wagle,,,,,,,,,,,,,,,,Crosscourt,Backhand,,,,1.0,,,,,,,,,,,,Sara Svetac,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,35,Sara Svetac,Sara Svetac,,,,0,,
15-0,4-2,0-0,,,,,,,7,Ad,Elise Wagle,,,,,,,,,,,,,,,,Down the Line,Backhand,,,,,,,,,,,,,,,,Sara Svetac,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,35,Sara Svetac,Elise Wagle,,,,0,,
15-0,4-2,0-0,,,,1.0,,,8,Deuce,Elise Wagle,,,,,,,,,,,,,,,,Crosscourt,Forehand,,,,,,,,,,,1.0,,,,,Sara Svetac,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,35,Sara Svetac,Sara Svetac,,,,0,,
15-15,4-2,0-0,,1.0,,,,,1,Deuce,Elise Wagle,1.0,Wide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elise Wagle,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,36,Sara Svetac,Elise Wagle,,,,0,1st Serve In,Wide
15-15,4-2,0-0,,,,,,,2,Deuce,Elise Wagle,,,,,,,,,,,,,,,,Down the Line,Forehand,,,,,,,,,,,,,,,,Elise Wagle,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,36,Sara Svetac,Sara Svetac,,,,0,,
15-15,4-2,0-0,,,,,,,3,Ad,Elise Wagle,,,,,,,,,,,,,,,,Crosscourt,Forehand,,,,,,,,,,,,,,,,Elise Wagle,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,36,Sara Svetac,Elise Wagle,,,,0,,
15-15,4-2,0-0,,,,1.0,,,4,Ad,Elise Wagle,,,,,,,,,,,,,,,,Crosscourt,Backhand,,,,,,,,,,,,,,,1.0,Elise Wagle,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,36,Sara Svetac,Sara Svetac,,,,1,,
30-15,4-2,0-0,,1.0,,,,,1,Ad,Elise Wagle,1.0,Body,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sara Svetac,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,37,Sara Svetac,Elise Wagle,,,,0,1st Serve In,Body
30-15,4-2,0-0,,,,,,,2,Deuce,Elise Wagle,,,,,,,,,,,,,,,,Down the Line,Forehand,,,,,,,,,,,,,,,,Sara Svetac,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,37,Sara Svetac,Sara Svetac,,,,0,,
30-15,4-2,0-0,,,,,,,3,Deuce,Elise Wagle,,,,,,,,,,,,,,,,Crosscourt,Forehand,,,,1.0,,,,,,,,,,,,Sara Svetac,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,37,Sara Svetac,Elise Wagle,,,,0,,
30-15,4-2,0-0,,,,,,,4,Deuce,Elise Wagle,,,,,,,,,,,,,,,,Down the Line,Backhand,,,,,,,,,,,,,,,,Sara Svetac,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,37,Sara Svetac,Sara Svetac,,,,0,,
30-15,4-2,0-0,,,,1.0,,,5,Ad,Elise Wagle,,,,,,,,,,,,,,,,Down the Line,Backhand,,,,,,,,,,,,,,1.0,,Sara Svetac,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,37,Sara Svetac,Elise Wagle,,,,1,,
30-30,4-2,0-0,,1.0,,,,,1,Deuce,Elise Wagle,0.0,Wide,,,1.0,Body,,,,,,,,,,,,,,,,,,,,,,,,,,,Elise Wagle,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,38,Sara Svetac,Elise Wagle,,,,0,2nd Serve In,Body
30-30,4-2,0-0,,,,,,,2,Deuce,Elise Wagle,,,,,,,,,,,,,,,,Down the Line,Forehand,,,,,,,,,,,,,,,,Elise Wagle,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,38,Sara Svetac,Sara Svetac,,,,0,,
30-30,4-2,0-0,,,,,,,3,Ad,Elise Wagle,,,,,,,,,,,,,,,,Crosscourt,Backhand,,,,,,,,,,,,,,,,Elise Wagle,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,38,Sara Svetac,Elise Wagle,,,,0,,
30-30,4-2,0-0,,,,,,,4,Ad,Elise Wagle,,,,,,,,,,,,,,,,Down the Line,Backhand,,,,,,,,,,,,,,,,Elise Wagle,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,38,Sara Svetac,Sara Svetac,,,,0,,
30-30,4-2,0-0,,,,,,,5,Deuce,Elise Wagle,,,,,,,,,,,,,,,,Crosscourt,Forehand,,,,,,,,,,,,,,,,Elise Wagle,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,38,Sara Svetac,Elise Wagle,,,,0,,
30-30,4-2,0-0,,,,,,,6,Deuce,Elise Wagle,,,,,,,,,,,,,,,,Down the Line,Forehand,,,,,,,,,,,,,,,,Elise Wagle,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,38,Sara Svetac,Sara Svetac,,,,0,,
30-30,4-2,0-0,,,,,,,7,Ad,Elise Wagle,,,,,,,,,,,,,,,,Crosscourt,Backhand,,,,,,,,,,,,,,,,Elise Wagle,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,38,Sara Svetac,Elise Wagle,,,,0,,
30-30,4-2,0-0,,,,,,,8,Ad,Elise Wagle,,,,,,,,,,,,,,,,Crosscourt,Backhand,,,,,,,,,,,,,,,,Elise Wagle,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,38,Sara Svetac,Sara Svetac,,,,0,,
30-30,4-2,0-0,,,,,,,9,Ad,Elise Wagle,,,,,,,,,,,,,,,,Down the Line,Forehand,,,,,,,,,,,,,,,,Elise Wagle,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,38,Sara Svetac,Elise Wagle,,,,0,,
30-30,4-2,0-0,,,,,,,10,Deuce,Elise Wagle,,,,,,,,,,,,,,,,Down the Line,Forehand,1.0,,,,,,,,,,,,,,,Elise Wagle,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,38,Sara Svetac,Sara Svetac,,,,0,,
30-30,4-2,0-0,,,,,,,11,Ad,Elise Wagle,,,,,,,,,,,,,,,,Crosscourt,Backhand,,1.0,,,,,,,,,,,,,,Elise Wagle,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,38,Sara Svetac,Elise Wagle,,,,0,,
30-30,4-2,0-0,,,,,,,12,Ad,Elise Wagle,,,,,,,,,,,,,,,,Crosscourt,Backhand,,,,,,,,,,,,,,,,Elise Wagle,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,38,Sara Svetac,Sara Svetac,,,,0,,
30-30,4-2,0-0,,,,1.0,,,13,Ad,Elise Wagle,,,,,,,,,,,,,,,,Down the Line,Backhand,,,,,,,,,,,1.0,,,,,Elise Wagle,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,38,Sara Svetac,Elise Wagle,,,,0,,
40-30,4-2,0-0,,1.0,,,,,1,Ad,Elise Wagle,1.0,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elise Wagle,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,39,Sara Svetac,Elise Wagle,,,,0,1st Serve In,T
40-30,4-2,0-0,,,,,,,2,Deuce,Elise Wagle,,,,,,,,,,,,,,,,Down the Line,Forehand,1.0,,,,,,,,,,,,,,,Elise Wagle,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,39,Sara Svetac,Sara Svetac,,,,0,,
40-30,4-2,0-0,,,,1.0,,,3,Deuce,Elise Wagle,,,,,,,,,,,,,,,,Down the Line,Forehand,,,,,,,,,,,1.0,,,,,Elise Wagle,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,39,Sara Svetac,Elise Wagle,,,,0,,
0-0,5-2,0-0,,1.0,,,,,1,Deuce,Sara Svetac,0.0,T,,,1.0,Body,,,,,,,,,,,,,,,,,,,,,,,,,,,Elise Wagle,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,40,Elise Wagle,Sara Svetac,,,,0,2nd Serve In,Body
0-0,5-2,0-0,,,,,,,2,Deuce,Sara Svetac,,,,,,,,,,,,,,,,Crosscourt,Forehand,,,,,,,,,,,,,,,,Elise Wagle,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,40,Elise Wagle,Elise Wagle,,,,0,,
0-0,5-2,0-0,,,,,,,3,Deuce,Sara Svetac,,,,,,,,,,,,,,,,Crosscourt,Forehand,,,,,,,,,,,,,,,,Elise Wagle,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,40,Elise Wagle,Sara Svetac,,,,0,,
0-0,5-2,0-0,,,,,,,4,Deuce,Sara Svetac,,,,,,,,,,,,,,,,Down the Line,Forehand,,,,,,,,,,,,,,,,Elise Wagle,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,40,Elise Wagle,Elise Wagle,,,,0,,
0-0,5-2,0-0,,,,,,,5,Ad,Sara Svetac,,,,,,,,,,,,,,,,Crosscourt,Backhand,,,,,,,,,,,,,,,,Elise Wagle,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,40,Elise Wagle,Sara Svetac,,,,0,,
0-0,5-2,0-0,,,,,,,6,Ad,Sara Svetac,,,,,,,,,,,,,,,,Down the Line,Backhand,,,,,,,,,,,,,,,,Elise Wagle,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,40,Elise Wagle,Elise Wagle,,,,0,,
0-0,5-2,0-0,,,,,,,7,Deuce,Sara Svetac,,,,,,,,,,,,,,,,Down the Line,Forehand,,,,,,,,,,,,,,,,Elise Wagle,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,40,Elise Wagle,Sara Svetac,,,,0,,
0-0,5-2,0-0,,,,,,,8,Deuce,Sara Svetac,,,,,,,,,,,,,,,,Crosscourt,Forehand,,,,1.0,,,,,,,,,,,,Elise Wagle,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,40,Elise Wagle,Elise Wagle,,,,0,,
0-0,5-2,0-0,,,,,,,9,Deuce,Sara Svetac,,,,,,,,,,,,,,,,Crosscourt,Forehand,,,,,,,,,,,,,,,,Elise Wagle,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,40,Elise Wagle,Sara Svetac,,,,0,,
0-0,5-2,0-0,,,,1.0,,,10,Deuce,Sara Svetac,,,,,,,,,,,,,,,,Down the Line,Forehand,,1.0,,,,,,,,,1.0,,,,,Elise Wagle,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,40,Elise Wagle,Elise Wagle,,,,0,,
15-0,5-2,0-0,,1.0,,,,,1,Ad,Sara Svetac,0.0,Wide,,,1.0,Body,,,,,,,,,,,,,,,,,,,,,,,,,,,Sara Svetac,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,41,Elise Wagle,Sara Svetac,,,,0,2nd Serve In,Body
15-0,5-2,0-0,,,,,,,2,Ad,Sara Svetac,,,,,,,,,,,,,,,,Crosscourt,Forehand,,,,,,,,,,,,,,,,Sara Svetac,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,41,Elise Wagle,Elise Wagle,,,,0,,
15-0,5-2,0-0,,,,,,,3,Ad,Sara Svetac,,,,,,,,,,,,,,,,Crosscourt,Backhand,,,,,,,,,,,,,,,,Sara Svetac,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,41,Elise Wagle,Sara Svetac,,,,0,,
15-0,5-2,0-0,,,,,,,4,Ad,Sara Svetac,,,,,,,,,,,,,,,,Crosscourt,Forehand,,,,,,,,,,,,,,,,Sara Svetac,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,41,Elise Wagle,Elise Wagle,,,,0,,
15-0,5-2,0-0,,,,,,,5,Ad,Sara Svetac,,,,,,,,,,,,,,,,Crosscourt,Backhand,,,,,,,,,,,,,,,,Sara Svetac,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,41,Elise Wagle,Sara Svetac,,,,0,,
15-0,5-2,0-0,,,,1.0,,,6,Ad,Sara Svetac,,,,,,,,,,,,,,,,Crosscourt,Backhand,,,,,,,,,,,,,1.0,,,Sara Svetac,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,41,Elise Wagle,Elise Wagle,,,,1,,
15-15,5-2,0-0,,1.0,,,,,1,Deuce,Sara Svetac,0.0,Body,,,1.0,Body,,,,,,,,,,,,,,,,,,,,,,,,,,,Elise Wagle,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,42,Elise Wagle,Sara Svetac,,,,0,2nd Serve In,Body
15-15,5-2,0-0,,,,,,,2,Deuce,Sara Svetac,,,,,,,,,,,,,,,,Crosscourt,Forehand,,,,,,,,,,,,,,,,Elise Wagle,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,42,Elise Wagle,Elise Wagle,,,,0,,
15-15,5-2,0-0,,,,1.0,,,3,Deuce,Sara Svetac,,,,,,,,,,,,,,,,Crosscourt,Forehand,,,,,,,,,,,,,,1.0,,Elise Wagle,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,42,Elise Wagle,Sara Svetac,,,,1,,
15-30,5-2,0-0,,1.0,,,,,1,Ad,Sara Svetac,0.0,Wide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sara Svetac,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,43,Elise Wagle,Sara Svetac,,,,0,Double Fault,
15-30,5-2,0-0,,,,,,,2,Ad,Sara Svetac,,,,,,,,,,,,,,,,Down the Line,Backhand,,,,,,,,,,,,,,,,Sara Svetac,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,43,Elise Wagle,Elise Wagle,,,,0,,
15-30,5-2,0-0,,,,,,,3,Deuce,Sara Svetac,,,,,,,,,,,,,,,,Crosscourt,Forehand,,,,,,,,,,,,,,,,Sara Svetac,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,43,Elise Wagle,Sara Svetac,,,,0,,
15-30,5-2,0-0,,,,,,,4,Deuce,Sara Svetac,,,,,,,,,,,,,,,,Crosscourt,Forehand,,,,,,,,,,,,,,,,Sara Svetac,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,43,Elise Wagle,Elise Wagle,,,,0,,
15-30,5-2,0-0,,,,,,,5,Deuce,Sara Svetac,,,,,,,,,,,,,,,,Crosscourt,Forehand,,,,,,,,,,,,,,,,Sara Svetac,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,43,Elise Wagle,Sara Svetac,,,,0,,
15-30,5-2,0-0,,,,1.0,,,6,Deuce,Sara Svetac,,,,,,,,,,,,,,,,Down the Line,Forehand,,,,,,,,,,,,,,,1.0,Sara Svetac,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,43,Elise Wagle,Elise Wagle,,,,1,,
30-30,5-2,0-0,,1.0,,,,,1,Deuce,Sara Svetac,1.0,Body,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elise Wagle,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,44,Elise Wagle,Sara Svetac,,,,0,1st Serve In,Body
30-30,5-2,0-0,,,,,,,2,Deuce,Sara Svetac,,,,,,,,,,,,,,,,Crosscourt,Forehand,,,,,,,,,,,,,,,,Elise Wagle,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,44,Elise Wagle,Elise Wagle,,,,0,,
30-30,5-2,0-0,,,,,,,3,Deuce,Sara Svetac,,,,,,,,,,,,,,,,Down the Line,Forehand,,,,,,,,,,,,,,,,Elise Wagle,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,44,Elise Wagle,Sara Svetac,,,,0,,
30-30,5-2,0-0,,,,,,,4,Ad,Sara Svetac,,,,,,,,,,,,,,,,Down the Line,Backhand,,,,,,,,,,,,,,,,Elise Wagle,,,,,,,,Elise Wagle,Sara Svetac,right,right,,,,44,Elise Wagle,Elise Wagle,,,,0,,
